,file_name,transcription,mms_model_transcription
0,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0000.wav,लिबर ऑफिस impress में एक प्रस्तुति document बनाना और बुनियादी formatting के इस spoken tutorial में आपका स्वागत है,liber ofice impress में एक परसतुति document बनाना और बुनियादी formating के इस spokn ttl में पकग
1,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0001.wav,इस tutorial में हम impress window के भागों के बारे में सीखेंगे और कैसे स्लाइड इन्सर्ट करें और कॉपी करें फॉन्ट तथा फॉन्ट को फॉर्मेट करना सीखेंगे,इस चetural में हम impress vindoं के भागों के बारे में सीखेंगे और कैसे slide इnsert करें और कopी करें fond तथा fond को format करना सीखेंगे
2,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0002.wav,यहाँ हम अपने ऑपरेटिंग सिस्टम के रूप में gnu/linux और लिबरऑफिस वर्जन 334 का उपयोग कर रहे हैं,यहाँ हम अपने operating sिstem के रूप में genu linux और liber office vrson 33 का उपयोग कर रहें
3,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0003.wav,चलिए अपनी प्रस्तुति प्रेजैटेशन sample impress open करते हैं जिसे पिछले tutorial में बनाया था,चलिए अपनी प्रसतुति sample impres oपn करते हैं िसे पिछले t
4,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0004.wav,चलिए देखते हैं कि screen पर क्या क्या है,चलए देखते हैं कि सकren पर कया कया है
5,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0005.wav,मध्य में हम खाली जगह देखते है जोकि workspace है जहाँ हम काम करेंगे,मध्य में हम खाली जगह देखते हैं जोकि wrkspase है जहाँ ह
6,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0006.wav,जैसे कि आप देख सकते हैं workspace में 5 tabs हैं जिन्हें view buttons कहते हैं,जैसे कि आब देख सकते हैं wr्k spase में पाc taps हैं
7,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0007.wav,फिलहाल normal टैब चुनित हैं,जिन्हें vयw btens कहते हैं fiलhal norml tap चुनित है
8,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0008.wav,यह मुख्य view है अलगअलग slides बनाने के लिए,यह मुख्य vw है अलग अलग सlite बनाने के लिए
9,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0009.wav,outline view प्रत्येक slide के outline format में विषय शीर्षक bulleted और क्रमांकित सूचियाँ बताता है,उटलाin v्यw प्रत्येक slit के उtlin fॉrmat में विषयशीर्षक bुलted और cरmांकित सूचियाँ बताता है
10,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0010.wav,notes view प्रत्येक slide में notes जोड़ने की सुविधा देता है जोकि प्रस्तुतिकरण के वक्त नज़र नहीं the,nots v्w प्रत्यक slide में not जोड़ने की सुंविधा देता है जोकि प्रस्तुतिकरण के वक्त नज़र नहीं आते
11,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0011.wav,handout view slides को हैन्डाउट के रूप में print करने की सुविधा देता है,hendut ve fligts को hendut के रूप में
12,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0012.wav,यहाँ हमें एक पेज पर कितने slides print करने हैं इसका चुनाव कर सकते हैं,यहाँ हमें एक pीc पर कितने s्lit pरint करने हैं सका o ना
13,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0013.wav,slide sorter view slides की थम्बनेल बताता है,करकतेंflites tr v lites की म
14,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0014.wav,अब फिर से normal view button पर click करते हैं,अब फिर से norml वू प
15,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0015.wav,screen की बाईं ओर आप slides pane देखते हैं यह प्रस्तुति में slides के थम्बनेल सम्मिलित करता है,screen की बाी ओर आप slits paन देखते हैं यह प्रस्तुति में slits के थमनेल समिलित करता है
16,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0016.wav,दाएँ तरफ tasks pane हैं जिसमें अनुभाग है,दाए तरफ tast pan है जिसमें अनुभाग है
17,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0017.wav,लेआउट्स section में पहले से ही कुछ सैम्पल लेआउट्स मौजूद हैं,t
18,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0018.wav,हम उनका उपयोग ऐसे ही कर सकते हैं या आवश्यकता अनुसार कुछ बदलाव करके उपयोग कर सकते हैं,प lयuts मौजूद है हम उनका उपयोग ऐसे ही कर सकते हैंया ्यता ुा
19,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0019.wav,जैसे जैसे हम इन tutorial में आगे बढ़ेंगे इन sections को विस्तार में देखेंगे,उप कर सजैसे जैसे हम inकe tuls में आगे बढेंगे infections को विसतार ें
20,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0020.wav,चलिए अब सीखते हैं कि कैसे slide को insert करें यानि जोड़ें slides pane में दूसरी slide पर क्लिक करके उसे चुनें,चलि सीकते हैं कि कैसे slit को insert करें यानि जोड़ें slits pan में दूसरी slit प
21,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0021.wav,अब insert और slide पर click करें,करकेउसे चुनें अब insert और slite पर click करें
22,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0022.wav,हम देखते हैं कि दूसरी slide के बाद एक नई खाली slide जुड़ गई है,हम देखते हैं कि दूसरी slit के बाद एकनई खाली slit जुड़ गई है
23,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0023.wav,slide पर शीर्षक लिखने के लिए टेक्स्टबार में click to add title पर click करें,slit पर शीरषक लिखने के लिए text ा ें
24,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0024.wav,अब short term strategy type करें और text box के बाहर click करें,cli अब sot term strategी typ करें और text box के ब
25,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0025.wav,अतः शीर्षक इस तरह से जोड़ सकते हैं,अताःा शिर्शक इत ताराह
26,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0026.wav,यहाँ दो तरीके है जिससे हम slide की प्रतिलिपि डुप्लिकेट बना सकते हैं,यहाँ दो तरीके हैं जिससे हम slit की पतिलिपी बना सेह
27,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0027.wav,पहले तरीके को देखते हैं insert पर click करें और फिर duplicate slide पर click करें,पले रीके को देखते हैंinsert पर clik करें और ि dua
28,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0028.wav,हम देख सकते हैं कि एक नई duplicate slide हमारी पहली बनाई गई slide के बाद जोड़ी गई है,पर clik करेंहम देख सकते है कि एक नi duplicate slid हमारी पहली बनाई गए slite के बाद जोड़ी गी है
29,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0029.wav,या तो workspace pane में जाकर slide sorter क्लिक करके slide sorter view पर जाएँ,या तो wor्k space pan में जाकर slides soter clिck करके slide soter v्यw पर जाएँ
30,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0030.wav,अब सातवीं स्लाइड को कॉपी करें स्लाइड पर राइट क्लिक करें और कांटेक्स्ट मेन्यू से copy चुनें,अब सातवीं slit को कoपी करें slाite पर rit click करें और context मेंनw से कoपी चुनें
31,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0031.wav,आखरी स्लाइड पर राइट क्लिक करें paste पर क्लिक करें,अखriषt lit पर rik clik करें pेst पर clik करें
32,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0032.wav,after चुनें और ok click करें,tर चुने और के क
33,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0033.wav,प्रेसेंटेशन के अंत में आपने स्लाइड की एक कॉपी बना ली है,प्resentेtn के अनत मे आपने सलतं
34,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0034.wav,चलिए अब फोंट्स और फोंट्स को फॉर्मेट करने के कुछ तरीके देखते हैं,चलिए fons और fons को format करने के कुछ तरीके देकखेहं
35,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0035.wav,long term goal नामक slide पर double क्लिक करके उसे चुनते हैं,long tom goल नamk slite पर dubl click करके उसे चुनतेहैं
36,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0036.wav,body टेक्स्ट बॉक्स पर क्लिक करें और पुरे टेक्स्ट को चुनें अब इसे डिलीट करें,bd text box पर clik करें और परे
37,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0037.wav,अब निम्न टाइप करें : reduce costs reduce dependence on few vendors develop customized applications,tet को चुनें अब इसे deleate करें अब निr्नtype करें reduce costs reduce dependence on few venders develop customized applications
38,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0038.wav,libreoffice writer documents में font का प्रकार और font size को जिस प्रकार बदला था यहाँ भी वैसे ही कर सकते हैं,documentस में font क प्रकार और fon sise को जिस प्रकार बदला था यहाँ भी 1
39,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0039.wav,text की एक line चुनें text format टूलबार में font type को albany से arial black में बदलें,text की एक lin चुनें text format toलबार में fon typ को lbaन से alil bla में
40,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0040.wav,और font size को 32 से 40 में बदलें,और fo sis को bतिससेc में बदलें
41,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0041.wav,text box से बाहर कहीं भी click करें,text box से बाहर कीं भी click करें
42,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0042.wav,ध्यान दें कि font बदल गई है,ध्यानदे की font बदल गई है
43,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0043.wav,हम main menu से format पर क्लिक करके और फिर character option पर क्लिक करके भी font को बदल सकते हैं,हम manmanw से format पर clिk करके और फि carecteर option पर clिक करके भी
44,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0044.wav,यह एक डायलॉग बॉक्स खोलेगा जिसमें हम अपनी आवश्यकतानुसार फॉन्ट स्टाइल और साइज़ सेट कर सकते हैं,यह एक dाloक box् खोलेगा जिसमें हम अपनी आवश्यक तर नसाहैं
45,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0045.wav,इस डायलॉग बॉक्स को बंद करते हैं,font stil और sie set कर सकते हैं alox
46,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0046.wav,font का color बदलने के लिए हम development up to present नामक slide को चुनते हैं,fon का कलr बदलने के लिए हम devlopment अपtू present नामक flit को चुनतें
47,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0047.wav,body text box पर click करते हैं और फिर सारे text को चुनते हैं,bodी text box पर clicक करते हैं और फिs सारे text को चुनते हैं
48,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0048.wav,font color icon के पास में डाउन arrow पर click करें और जो चाहिए वो color चुनें,font cलr icon के पास में down aro पर click करें और जो चाहिए वो कलर चुनें
49,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0049.wav,text box के बाहर कहीं भी click करें,के बाहर कहीं भी click करें
50,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0050.wav,colour में हुए बदलाव को देखें,वको खेlिbr ofि doमe ें
51,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0051.wav,libreoffice documents में जिस प्रकार से bold italics और underline जैसे formatting की थी यहाँ भी उसी प्रकार से कर सकते हैं,जिस प्रकार से bold italic और अnडrlin जैसे formatinग की थी यहाँ भी उसी प्रकार से कर सकते हैं
52,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0052.wav,recommendations नामक slide को चुनें,नामक slite को चुने
53,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0053.wav,body text box पर click करें और text की एक line चुनें,bodी text box पर click करें उर text की एक लiन चुनें
54,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0054.wav,अब bold italics और underline icons पर click करें,b tऔरं
55,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0055.wav,text box के बाहर कहीं भी click करें,text box के बाहर कहीं भी clik करें
56,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0056.wav,text में हुए बदलाव पर ध्यान दें,text में हुए बदलाव पर ध्यान दें
57,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0057.wav,अब हम इस tutorial की समाप्ति की ओर हैं,अब हम इस tetol के समाप्ती के ओर हैं
58,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0058.wav,संक्षिप्त में बताते हैं कि हमने क्या सीखा इस tutorial में हमने इम्प्रेस विंडो के भागों के बारे में सीखा और कैसे स्लाइड इन्सर्ट करें और कॉपी करें फॉन्ट to फॉन्ट को फॉर्मेट करना सीखा,संषिप्त में बताते हैं कि हमने क्या सीखा इस teturial में हमने impes windों के भागों के बारे में सीखा और कैसे slide इnsert करें और कoपी करें fond तथा fond को format करना सीखा
59,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0059.wav,इस व्यापक नियत कार्य की कोशिश करें,स व्यापक नियत कारे की कोै
60,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0060.wav,एक नयी प्रस्तुति बनाए,कएक नए प्रस्तुति बनाएं
61,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0061.wav,तीसरी और चौथी slide के बीच एक slide जोड़ें,तीसरी और चौथी clit के bीच एक slit जोड़ें
62,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0062.wav,प्रस्तुति के अंत में चौथी स्लाइड की एक कॉपी बनाए,के अनत में चौथी lid की एक कopी बनाए
63,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0063.wav,दूसरी स्लाइड में एक टेक्स्ट बॉक्स बनाए उसमें कुछ टेक्स्ट टाइप करें,lit में एक text box बनाएउसमें कुछ text tyप करें
64,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0064.wav,text के format को 32 font size में बदलें,text के format को bतिस fonsiजe में बदलें
65,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0065.wav,text को bold italic underlined करें और नीला रंग दें,text को bold italic अndlin करें और निलारंगदें
66,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0066.wav,निम्न link पर उपलब्ध video देखें,निमन लiंk पर उपलब्ध vidिो देखें
67,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0067.wav,यह spoken tutorial project को सारांशित करता है,यह s्poken tituel p्roject को सारंशित करता है
68,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0068.wav,यदि आपके पास अच्छा bandwidth नहीं है तो आप इसे download करके देख सकते हैं,यदि आपके पास अच्छा बenwि्त नहीं है तो आप इसे doउnlod करके देख सकें
69,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0069.wav,spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाते हैं,spoken ttl roject tm spoken titral क उपयोग करके कककं
