,file_name,transcription,mms_model_transcription
0,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0000.wav,लिबर ऑफिस impress में एक प्रस्तुति document बनाना और बुनियादी formatting के इस spoken tutorial में आपका स्वागत है,liberoffice impress में एक परस्तुति document बनाना और बुनियादी formating के इस spoken ttl में  पका  ा गैं
1,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0001.wav,इस tutorial में हम impress window के भागों के बारे में सीखेंगे और कैसे स्लाइड इन्सर्ट करें और कॉपी करें फॉन्ट तथा फॉन्ट को फॉर्मेट करना सीखेंगे,इस चीturl में हम impress वindoं के भागों के बारे में सीखेंगे और कैसे slाide insert करें और कopी करें fond तथा fond को format करना सीखेंगे
2,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0002.wav,यहाँ हम अपने ऑपरेटिंग सिस्टम के रूप में gnu/linux और लिबरऑफिस वर्जन 334 का उपयोग कर रहे हैं,यहाँ हम अपने oprating सystem के रूप में genu linux और liber office vrson 334 का उपयोग कर रहैहैं
3,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0003.wav,चलिए अपनी प्रस्तुति प्रेजैटेशन sample impress open करते हैं जिसे पिछले tutorial में बनाया था,चलिए अपनी प्रसतुति sample impres oपn करते हैंजिसे पिछल u
4,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0004.wav,चलिए देखते हैं कि screen पर क्या क्या है,बनय चलिए देखते हैं कि sकren पर कया कया है
5,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0005.wav,मध्य में हम खाली जगह देखते है जोकि workspace है जहाँ हम काम करेंगे,मध्य में हम खाली जगह देखते हैं जोकि work space है जहाँ हम
6,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0006.wav,जैसे कि आप देख सकते हैं workspace में 5 tabs हैं जिन्हें view buttons कहते हैं,जैसे कि आप देख सकते हैं वरक space में पाच tabs हैं
7,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0007.wav,फिलहाल normal टैब चुनित हैं,जिन्हें vू btns कहते हैंफilhal normal tap चुनित है
8,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0008.wav,यह मुख्य view है अलगअलग slides बनाने के लिए,यह मुख्य vw है अलग अलग slite बनाने के लिए
9,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0009.wav,outline view प्रत्येक slide के outline format में विषय शीर्षक bulleted और क्रमांकित सूचियाँ बताता है,utlin v्w प्रत्येक slit के utlin format में विषयशीर्षक bुलted और cृमाnकित सूचियाँ बताता है
10,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0010.wav,notes view प्रत्येक slide में notes जोड़ने की सुविधा देता है जोकि प्रस्तुतिकरण के वक्त नज़र नहीं the,nots v्w प्रत्यक slide में not जोड़ने की सुविधा देता है जोकि प्रस्तुतिकरण के वक्त नज़र नहीं आते
11,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0011.wav,handout view slides को हैन्डाउट के रूप में print करने की सुविधा देता है,hendut vew flids को hैndut के रूप में
12,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0012.wav,यहाँ हमें एक पेज पर कितने slides print करने हैं इसका चुनाव कर सकते हैं,यहाँ हमें एक पीc पर कितने slit pरिnt करने हैं  स का   ा
13,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0013.wav,slide sorter view slides की थम्बनेल बताता है,रflites tr v lits की म
14,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0014.wav,अब फिर से normal view button पर click करते हैं,अब फिर से normal वw बt है
15,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0015.wav,screen की बाईं ओर आप slides pane देखते हैं यह प्रस्तुति में slides के थम्बनेल सम्मिलित करता है,सcreen की बाई ओर आप slits pan देखते हैं यह प्रस्तुति में slाits के थमनेल समिलित करता है
16,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0016.wav,दाएँ तरफ tasks pane हैं जिसमें अनुभाग है,दाय तरफ tast pan है जिसमें अनुभाग है
17,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0017.wav,लेआउट्स section में पहले से ही कुछ सैम्पल लेआउट्स मौजूद हैं,l et े ब
18,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0018.wav,हम उनका उपयोग ऐसे ही कर सकते हैं या आवश्यकता अनुसार कुछ बदलाव करके उपयोग कर सकते हैं,pl luts मौजू है हम उनका उपयोग ऐसे ही कर सकते हैंय आव्यता ुा
19,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0019.wav,जैसे जैसे हम इन tutorial में आगे बढ़ेंगे इन sections को विस्तार में देखेंगे,करजैसे जैसे हम inकituals में आगे बढ़ेंगे infecton को विसताारें
20,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0020.wav,चलिए अब सीखते हैं कि कैसे slide को insert करें यानि जोड़ें slides pane में दूसरी slide पर क्लिक करके उसे चुनें,चलि सीखते हैं कि कैसे slit को insert करें यानि जोड़ें slitspan में दूरी slit प
21,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0021.wav,अब insert और slide पर click करें,क उसे चुनें अब insert और slide पर click करें
22,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0022.wav,हम देखते हैं कि दूसरी slide के बाद एक नई खाली slide जुड़ गई है,हम देखते हैं कि दूसरी slait के बाद एकनी खाली slit जुड़ गई है
23,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0023.wav,slide पर शीर्षक लिखने के लिए टेक्स्टबार में click to add title पर click करें,slite पर शhीर्षक लिखने के लिए text bार में ै
24,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0024.wav,अब short term strategy type करें और text box के बाहर click करें,dtlपरclik करंब sot term strateg typ करें और text box केबं
25,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0025.wav,अतः शीर्षक इस तरह से जोड़ सकते हैं,अतः शिर्षक इस तारहैं
26,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0026.wav,यहाँ दो तरीके है जिससे हम slide की प्रतिलिपि डुप्लिकेट बना सकते हैं,यहाँ दो तरीके हैं जिससे हम slit की पतिलिपी बना सह
27,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0027.wav,पहले तरीके को देखते हैं insert पर click करें और फिर duplicate slide पर click करें,पहले रके को देखते हैंinsort पर click करें र a
28,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0028.wav,हम देख सकते हैं कि एक नई duplicate slide हमारी पहली बनाई गई slide के बाद जोड़ी गई है,i पर click करेंहम देख सकते हैं कि एक नई duplicate slide हमारी पहली बनाई गई slide के बाद जोड़ी गई है
29,/l/users/speech_lab/CodeSwitchedDataset[code_switched_dataset]/MUCS/Hindi-English/test/transcripts/wav_segments/103085_w5Jyq3XMbb3WwiKQ_0029.wav,या तो workspace pane में जाकर slide sorter क्लिक करके slide sorter view पर जाएँ,या तो work space pan में जाकर slide soter click करके slide soter vw पर जाएं
