,file_name,transcription,mms_model_transcription
0,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.1136.019_1150.015.wav,اه أنا بس كان عندي سؤال للدكتور عمار أنه هو بحاجة بس <unk> أنا استفهمها أنا مافهمتهاش من من الكلام ، اه شركة شركة Boston Dynamics هي كانت شركة تابعة للجيش الأمريكي واشترتها شركة Alphabet اللي هي خاصة بغوغل,نمسكن عند السؤل الدقتر رماr أنهو حاجبس سفهمً  من اكلام شركة بوستoن داينامcs هيد شركة تبع للجيش الأمريكة واشتركها شركة ألفابt خاصب جوغل
1,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.1150.015_1162.166.wav, حضرتك قلت أن هي بتطلع اللي أنا فهمته أن هي ال visuality بتعتها fake هل ده اللي أنا فهمته من حضرتك صح ؟ <unk> بتعمل فيديوهات fake اه معلش أنا أشك في الكلام ده,حد ألط النهية بطلى لنا همت النهية الجا بعفيك هل لنا فهم منحدصح عأن أش يال
2,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.1218.840_1228.206.wav,لدرجة أنه كنت نازل على الجامعة أفتح مجال ذكاء اصطناعي رغم إن عندنا robotics ومجالات مختلفة في ال في ال في الجامعة,لذرجة أنك تنازل على الجمعة أفتح مجالزك اصطناع رغم  عندنا روبوتcs ومجلات مختلفة في الجمعة
3,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.1592.972_1602.114.wav,ولذلك أنا بتمنى اه أن يكون اه ال output من هذه الندوة ما يسمى بالتحالفات التكنولوجية,ولذلك أنا بتمنى أن يكون الأوتفوت من هذه الندوة ما يسمى بالتحلفات التكنولوجية
4,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.1602.114_1616.384.wav,أنا ال بر ب recommended إن نحن نعمل تحالف تكنولوجي بحيث أنه يجمّع ما بين الجهات الأكاديمية والجهات الصناعية المختلفة في مجالات معينة يمكن تحديدها فيما بعد,ن برقم مندد أنحن نعمل تحالف تكنولجي بحيص أن يجمع ببين الجهات الأكدمية والجهات الصناعية المختلفة في مجلات معينة يمكن تحددةاً في مبعة
5,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.1616.384_1627.907.wav,فأنا بتمنى إن ممكن تخرج بتحالف أو تنين أو ثلاثة ، في مجالات مختلفة بحيث إن يكون على أرض الواقع في output لهذه الندوة ، وشكراً,فأن بتمنى ن ممكن نخرق بتحالف أو  في مجلات مختلفة بحيص انيكون على أرض الواقع في أوdبot هذه الندو شكراً
6,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.1684.034_1699.454.wav,لكن كيفية التعلم مش موجودة عندنا جميعاً ، لأن التعلم هو التطبيق العملي ل التعليم على أرض الواقع وتدريب ازاي أد اه الجزء اللي أنا تعلمته ازاي أخرجه ك prototype أو كمنتج يستفاد به المجتمع,لكن كيفيت التعلم مشمجودة عندن معلين التعلم هو التطبيع العملي تعليم على أرض الواقع وتدريب ذي لجزة تعلمته إذي أخرج ك بrوتsيب أو كمونتج سفتبي المجتمة
7,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.1878.459_1892.476.wav,وأنا مش عايز أقطع الكلام لأن طبعاً يعني الأخ فؤاد قال إن في session حيتكلم عن هذا الموضوع ولكن أنا بس بحب أوضح إن فعلاً ااه إن في الأكاديمية بالصناعة والمنظمة قاطعة شوط كبير جداً,هول مشذتكلام لأن تبعاً يعن الأخف ود آل ن سجً لا يكلم عن هذا الموضوع ولكن أن بسبحب وضح انفي الأكدمية بالصناع والمنظمة تعشط البير جدة
8,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.191.033_205.622.wav,"ااه في البداية ، أود الإشارة إلى أني قمت في مساري الدراسي بالجامعة التونسية ااه درست مادة ال الذكاء الاصطناعي expert system , decision support system , log logic resolution",في البداية أود الإشارة إلى أني قنت في مساري اتراسي بالجامعة التونيسية درست مادة الذكاء الاسطناعي إكسprt سistm decision sport سstm loجiك rيزoلوton
9,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.531.857_544.445.wav,واحنا نؤمن ب دكتاتورية ال الرئيس ال الف الفاضل اللي بنسميه benevolent dictator الرئيس المستبد العادل أحسن من الرئيس الغير غير عادل وغير مستبد,ورحن نؤم بدكتاترية ئيس الفعضل بنسمي بنظل لدكتيتر الرئيس المستبد العدل أحسم من الرئيس اغر غير عدل وغير مستبد
