,file_name,transcription,mms_model_transcription
0,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.1136.019_1150.015.wav,اه أنا بس كان عندي سؤال للدكتور عمار أنه هو بحاجة بس <unk> أنا استفهمها أنا مافهمتهاش من من الكلام ، اه شركة شركة Boston Dynamics هي كانت شركة تابعة للجيش الأمريكي واشترتها شركة Alphabet اللي هي خاصة بغوغل,نمسكن عد السعل لدكتoر rعماr أنهوحاج بسز اتفهم  من كلام شركة <unk>oston dinamics هي كد شركة تبعى للجيش الأمريكة واشتركها شركة <unk>لفabet خاصب <unk>وgl
1,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.1150.015_1162.166.wav, حضرتك قلت أن هي بتطلع اللي أنا فهمته أن هي ال visuality بتعتها fake هل ده اللي أنا فهمته من حضرتك صح ؟ <unk> بتعمل فيديوهات fake اه معلش أنا أشك في الكلام ده,حدك ألط النهية بلطلى إلنا فهمت النهية الفجاد بتعته fik هل د إلنا فهمت من حدك صاح نمعليش أن أشoك فيالكنام،
2,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.1218.840_1228.206.wav,لدرجة أنه كنت نازل على الجامعة أفتح مجال ذكاء اصطناعي رغم إن عندنا robotics ومجالات مختلفة في ال في ال في الجامعة,لذارجة أنكنت نازل على الجمعة أفتح مجالزك اصطناع رغم عندنا رobotics ومجالات مختلفة في الجمعة،
3,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.1592.972_1602.114.wav,ولذلك أنا بتمنى اه أن يكون اه ال output من هذه الندوة ما يسمى بالتحالفات التكنولوجية,ولذلك أنا بتمنى أن يكون الأوt<unk>ot من هذه الندوة ما يسمى بالتحالفات التكنولوجية،
4,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.1602.114_1616.384.wav,أنا ال بر ب recommended إن نحن نعمل تحالف تكنولوجي بحيث أنه يجمّع ما بين الجهات الأكاديمية والجهات الصناعية المختلفة في مجالات معينة يمكن تحديدها فيما بعد,ن بركم مندd أنحن نعمل تحالف تكنولoجي بحيس أن يجمع ببيني الجهات الأكدeمية والجهات الصناعية المختلفة في مجلات معينة يمكن تحديدهةا في مبعة،
5,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.1616.384_1627.907.wav,فأنا بتمنى إن ممكن تخرج بتحالف أو تنين أو ثلاثة ، في مجالات مختلفة بحيث إن يكون على أرض الواقع في output لهذه الندوة ، وشكراً,فأن بتمنى أن ممكن نخرج بتحالف أو 00 أو 3لا في مجلات مختلفة بحيص انيكون على أرض الواقع في <unk>وd <unk>ot لهذه الندو شكراً،
6,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.1684.034_1699.454.wav,لكن كيفية التعلم مش موجودة عندنا جميعاً ، لأن التعلم هو التطبيق العملي ل التعليم على أرض الواقع وتدريب ازاي أد اه الجزء اللي أنا تعلمته ازاي أخرجه ك prototype أو كمنتج يستفاد به المجتمع,لكن كيفية التعلم مشموجود عندنكميعلين التعلم هو التطبيع العملي تعليم على أرض الواقع وتدريب زي لجزة تعلمته إذي أخرجه ك <unk>rot<unk>oib أو كمontag سفات بي المكتمة
7,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.1878.459_1892.476.wav,وأنا مش عايز أقطع الكلام لأن طبعاً يعني الأخ فؤاد قال إن في session حيتكلم عن هذا الموضوع ولكن أنا بس بحب أوضح إن فعلاً ااه إن في الأكاديمية بالصناعة والمنظمة قاطعة شوط كبير جداً,هول مشهزتعكلام لأن تبعاً يعن الأخف ود <unk>ل نفي <unk>eجn هايكلم عن هذا موضوع ولكن أن بسبحب وضح نفي الأكدمية بالصناع والمنظمة تعشوط البير جدة،
8,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.191.033_205.622.wav,"ااه في البداية ، أود الإشارة إلى أني قمت في مساري الدراسي بالجامعة التونسية ااه درست مادة ال الذكاء الاصطناعي expert system , decision support system , log logic resolution",ي البداية أود الإشارةإلىأني كنت في مساري اتراسي بالجامعة التونيسية دارست مادة الذكاء الاستيناعي <unk>xspert sistem decision support sistem loجic resoliution
9,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.531.857_544.445.wav,واحنا نؤمن ب دكتاتورية ال الرئيس ال الف الفاضل اللي بنسميه benevolent dictator الرئيس المستبد العادل أحسن من الرئيس الغير غير عادل وغير مستبد,ورحن ؤمً بدكتاتورية ئيس الفاضل بنسمي بنvل لدكتaتر الرئيس المستبد العادل أحسم من الرئيس اغ غير عادل وغير مستبد،
10,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.600.505_613.554.wav,سيصبح في superior es en human beings و inferior human beings سيصبح ب قدرة عقل الإنسان من خلال الذكاء الاصطناعي كقدرة الكمبيوتر,يسبحفي <unk>uperior <unk>ip <unk>uman <unk>يings إnferiar <unk>uman <unk>eings سيسبح بقدرة عقل الإنسان من خلال الذكاء الاسطماعي كقدرة الكompيutر
11,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.677.859_687.381.wav,أيضاً أنا بتكلم عن تعليم ال artificial intelligence أنا لا أتكلم عن تعريف بمادة . مش جغرافيا ولا تاريخ,أيض أنبأتكلم عن تعليم الartificial inteligence أنا لا أتكلم عن تعريف بمادي من جoغرافيا ولا تاريخ،
12,/l/users/speech_lab/AtharvaK/MMS-Adpter-Switching/ESCWA/wav/UN_ESCWA_2_01-07-2019-07_38_44_ARWORKER_79a22eb8-d8c4-4863-a2a3-c67093e572ee-UN_ESCWA_2-None.687.381_699.908.wav,أنا أر أقصد بالتعليم أن يصبح هذا الطالب مخترع ، احنا عنا في كلية طلال أبو غزالة للابتكار التعليم هو في ال incubator ، مافي أستاذ عم بعلمه شو يدرس,أنا أولأقصض بالتعليم أن يصبح هذا الطالب مخترع إحن عن في كلي الطلالة بغزال الابتكار التعليم هو في ال<unk>ncbatr مافي أستاد عن بعلم شrيdros،
